area,mh,ind,x_coord,y_coord
SABMAR,JP,M648,-6.532212801,37.01218977
SABMAR,JP,M457,-6.533065075,37.01235098
SABMAR,JP,M381,-6.532384719,37.01199999
SABMAR,JP,M058,-6.532539457,37.0117439
SABMAR,PP,M_PP_N,-6.533895678,37.01245195
SABMAR,PP,M_PP_A,-6.532103,37.012233
SABMAR,NF,M_NF_B,-6.532802,37.012014
SABMAR,NF,M_NF_A,-6.53287,37.011957
SABMAR,FF,M_FF_I,-6.532475221,37.01249017
SABMAR,FF,M_FF_K,-6.533039,37.012334
SABMAR,FF,M_FF_F,-6.532393,37.011949
SABMAR,FF,M_FF_C,-6.532465,37.012158
SABCOL,OA,CT3M8,-6.506288889,37.000525
SABCOL,OA,CT3M7,-6.506277778,37.000525
SABCOL,OA,CT3M49,-6.506741667,37.00049722
SABCOL,OA,CT3M47,-6.506719444,37.00049722
SABCOL,OA,CT3M42,-6.506663889,37.0005
SABCOL,OA,CT3M33,-6.506563889,37.00050556
SABCOL,OA,CT3M32,-6.506552778,37.00050556
SABCOL,OA,CT3M28,-6.506516667,37.00050833
SABCOL,OA,CT3M27,-6.506502778,37.00051111
SABCOL,OA,CT3M24,-6.506463889,37.00051389
SABCOL,OA,CT3M22,-6.506444444,37.00051667
SABCOL,OA,CT3M1,-6.506208333,37.00052778
SABCOL,OA,CT1M49,-6.506086111,37.00083889
SABCOL,OA,CT1M46,-6.506136111,37.00083889
SABCOL,OA,CT1M44,-6.50615,37.00083611
SABCOL,OA,CT1M4,-6.506591879,37.00083315
SABCOL,OA,CT1M35,-6.506247222,37.00083611
SABCOL,OA,CT1M27,-6.506345647,37.00083659
SABCOL,OA,CT1M23,-6.50638388,37.00083601
SABCOL,OA,CT1M13,-6.506490574,37.00083451
SABCOL,JP,C162,-6.506334997,37.00031259
SABCOL,JP,C111,-6.506593474,37.00012637
SABCOL,JP,C075,-6.506160102,37.000325
SABCOL,JP,C014,-6.506553396,37.00068699
SABCOL,PP,C_PP_L,-6.506328703,37.00130661
SABCOL,PP,C_PP_E,-6.506768,36.999826
SABCOL,PP,C_PP_I,-6.506249,37.000377
SABCOL,PP,C_PP_C,-6.506974,37.000216
SABCOL,NF,C_NF_K,-6.506605,36.999931
SABCOL,NF,C_NF_J,-6.50632,37.000138
SABCOL,NF,C_NF_G,-6.506018,37.000567
SABCOL,NF,C_NF_F,-6.50656,37.000753
SABCOL,FF,C_FF_I,-6.505658,37.000049
SABCOL,FF,C_FF_G,-6.507248,37.000738
SABCOL,FF,C_FF_D,-6.506451,37.000311
SABCOL,FF,C_FF_A,-6.506511,37.000221
SABOJI,JP,O626,-6.51318,36.995687
SABOJI,JP,O488,-6.513032,36.995451
SABOJI,JP,O463,-6.513544,36.995571
SABOJI,JP,O023,-6.513807949,36.99517442
SABOJI,PP,O_PP_L,-6.513445,36.995681
SABOJI,PP,O_PP_G,-6.513226,36.995256
SABOJI,PP,O_PP_E,-6.513685,36.995761
SABOJI,PP,O_PP_B,-6.513668,36.995363
SABOJI,NF,O_NF_L,-6.513443,36.995093
SABOJI,NF,O_NF_H,-6.513034,36.99539
SABOJI,NF,O_NF_F,-6.513339,36.9958
SABOJI,NF,O_NF_A,-6.513623,36.995786
SABOJI,FF,O_FF_A,-6.513652,36.995843
SABMAR,OA,MT8M46,-6.532875,37.01237222
SABMAR,OA,MT8M41,-6.532891667,37.012325
SABMAR,OA,MT8M39,-6.532908333,37.01231389
SABMAR,OA,MT7M7,-6.533083333,37.0123
SABMAR,OA,MT7M10,-6.533113889,37.01229444
SABMAR,OA,MT6M21,-6.532780556,37.01209722
SABMAR,OA,MT5M10,-6.532333317,37.01221572
SABMAR,OA,MT5M24,-6.532336111,37.01208611
SABMAR,OA,MT5M23,-6.532338889,37.01209722
SABMAR,OA,MT5M19,-6.532344444,37.01213889
SABMAR,NF,M_NF_I,-6.532464637,37.01242643
SABMAR,NF,M_NF_E,-6.53328178,37.01226195
SABMAR,PP,M_PP_K,-6.53205471,37.01168985
SABCOL,OA,CT2M49,-6.506250861,37.00065745
SABCOL,OA,CT2M43,-6.506293331,37.00061687
SABCOL,OA,CT2M41,-6.506299769,37.00061104
SABCOL,OA,CT2M14,-6.506483376,37.00043852
SABCOL,OA,CT2M12,-6.506493832,37.00040768
SABOJI,FF,O_FF_O,-6.513226021,36.99656767
SABOJI,FF,O_FF_L,-6.512404265,36.99651156
SABOJI,FF,O_FF_J,-6.512186515,36.99617247
SABMAR,PP,M_PP_M,-6.532059813,37.0116648
SABOJI,OA,OT14M11,-6.513299,36.995563
SABOJI,OA,OT14M16,-6.513257,36.995542
SABOJI,OA,OT14M19,-6.513231,36.995529
SABOJI,OA,OT14M20,-6.513221,36.995523
SABOJI,OA,OT14M21,-6.513208,36.995517
SABOJI,OA,OT14M23,-6.513186,36.995504
SABOJI,OA,OT14M3,-6.513339,36.995629
SABOJI,OA,OT14M4,-6.513333,36.995619
SABOJI,OA,OT14M9,-6.513313,36.995576
SABOJI,OA,OT15M1,-6.513255,36.995538
SABOJI,OA,OT15M13,-6.513379,36.995501
SABOJI,OA,OT15M14,-6.513389,36.995496
SABOJI,OA,OT15M16,-6.513412,36.99549
SABOJI,OA,OT15M17,-6.513414,36.995483
SABOJI,OA,OT15M22,-6.513406,36.99545
SABOJI,OA,OT15M23,-6.513397,36.995428
SABOJI,OA,OT15M3,-6.513274,36.995531
SABOJI,OA,OT15M4,-6.513283,36.995527
SABOJI,OA,OT15M5,-6.513283,36.995527
SABOJI,OA,OT15M6,-6.513321,36.995518
SABOJI,OA,OT15M8,-6.513336,36.995512
SABOJI,OA,OT15M9,-6.51335,36.995505