area;mh;ind;bird_feaces;mammal_feaces;bird_seeds;mammal_seeds;total_seeds;sampled_area_m2;density_raw;seed_density_m2;focal_point;x;y;random_drop
SABMAR;OA;MT8M17;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M18;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M19;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M20;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M21;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M22;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M23;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M24;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M25;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M26;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M27;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M28;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M29;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M30;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M32;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M33;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M34;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M36;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M37;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M38;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M42;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M43;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M44;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M45;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABOJI;FF;O_FF_A;17;0;34;0;34;0.297;114.4781145;114;YES;-6.513652;36.995843;no
SABOJI;FF;O_FF_B;36;0;72;0;72;0.215;334.8837209;335;NO;-6.513574;36.995599;no
SABOJI;FF;O_FF_C;21;0;42;0;42;0.2538;165.4846336;165;NO;-6.513616;36.995943;no
SABOJI;FF;O_FF_D;21;1;42;25;67;0.2;335;335;NO;-6.513684;36.996126;no
SABOJI;FF;O_FF_E;4;0;8;0;8;0.215;37.20930233;37;NO;-6.513215;36.995632;no
SABOJI;FF;O_FF_F;12;0;24;0;24;0.22;109.0909091;109;NO;-6.512725416;36.995404;no
SABOJI;FF;O_FF_G;7;0;14;0;14;0.188;74.46808511;74;NO;-6.512752454;36.99527861;no
SABOJI;FF;O_FF_H;12;0;24;0;24;0.2116;113.4215501;113;NO;-6.512592218;36.99531669;no
SABOJI;FF;O_FF_I;11;2;22;50;72;0.32;225;225;YES;-6.512245487;36.99554269;no
SABOJI;FF;O_FF_J;8;0;16;0;16;0.2436;65.68144499;66;NO;-6.512186515;36.99617247;no
SABOJI;FF;O_FF_K;4;0;8;0;8;0.2726;29.34702861;29;NO;-6.512506029;36.99580226;no
SABOJI;FF;O_FF_L;6;0;12;0;12;0.252;47.61904762;48;YES;-6.512712939;36.99637139;no
SABOJI;FF;O_FF_M;10;0;20;0;20;0.196;102.0408163;102;NO;-6.513272;36.996646;no
SABOJI;FF;O_FF_N;0;0;0;0;0;0.234;0;0;NO;-6.513722;36.996458;no
SABOJI;FF;O_FF_O;4;0;8;0;8;0.192;41.66666667;42;YES;-6.513226021;36.99656767;no
SABOJI;NF;O_NF_A;19;0;38;0;38;0.256;148.4375;148;YES;-6.513623;36.995786;no
SABOJI;NF;O_NF_B;21;0;42;0;42;0.29;144.8275862;145;NO;-6.513387;36.995828;no
SABOJI;NF;O_NF_C;13;0;26;0;26;0.22;118.1818182;118;NO;-6.51315;36.995302;no
SABOJI;NF;O_NF_D;4;0;8;0;8;0.264;30.3030303;30;NO;-6.51342;36.995096;no
SABOJI;NF;O_NF_E;11;0;22;0;22;0.24;91.66666667;92;NO;-6.513398;36.995065;no
SABOJI;NF;O_NF_F;11;0;22;0;22;0.208;105.7692308;106;YES;-6.513339;36.9958;no
SABOJI;NF;O_NF_G;7;0;14;0;14;0.22;63.63636364;64;NO;-6.512739;36.9957;no
SABOJI;NF;O_NF_H;20;0;40;0;40;0.2432;164.4736842;164;YES;-6.513034;36.99539;no
SABOJI;NF;O_NF_I;25;0;50;0;50;0.258;193.7984496;194;NO;-6.513135;36.995467;no
SABOJI;NF;O_NF_J;1;0;2;0;2;0.228;8.771929825;9;NO;-6.513061;36.995203;no
SABOJI;NF;O_NF_K;15;0;30;0;30;0.3132;95.78544061;96;NO;-6.513134;36.995061;no
SABOJI;NF;O_NF_L;9;0;18;0;18;0.208;86.53846154;87;YES;-6.513443;36.995093;no
SABOJI;NF;O_NF_M;1;0;2;0;2;0.228;8.771929825;9;NO;-6.513701;36.995167;no
SABOJI;NF;O_NF_N;7;0;14;0;14;0.2795;50.08944544;50;NO;-6.513409;36.995493;no
SABOJI;NF;O_NF_O;10;0;20;0;20;0.2438;82.03445447;82;NO;-6.513335;36.99548;no
SABOJI;PP;O_PP_A;34;0;68;0;68;0.252;269.8412698;270;NO;-6.513366;36.995186;no
SABOJI;PP;O_PP_B;31;0;62;0;62;0.2;310;310;YES;-6.513668;36.995363;no
SABOJI;PP;O_PP_C;48;0;96;0;96;0.216;444.4444444;444;NO;-6.513322;36.99521;no
SABOJI;PP;O_PP_D;3;0;6;0;6;0.2484;24.15458937;24;NO;-6.513678;36.995346;no
SABOJI;PP;O_PP_E;11;1;22;25;47;0.2668;176.161919;176;YES;-6.513685;36.995761;no
SABOJI;PP;O_PP_F;11;1;22;25;47;0.2688;174.8511905;175;NO;-6.513361;36.995685;no
SABOJI;PP;O_PP_G;32;0;64;0;64;0.258;248.0620155;248;YES;-6.513226;36.995256;no
SABOJI;PP;O_PP_H;36;0;72;0;72;0.2475;290.9090909;291;NO;-6.513244;36.99527;no
SABOJI;PP;O_PP_I;14;0;28;0;28;0.224;125;125;NO;-6.513607;36.995567;no
SABOJI;PP;O_PP_J;7;0;14;0;14;0.2;70;70;NO;-6.51357;36.995527;no
SABOJI;PP;O_PP_K;11;0;22;0;22;0.275;80;80;NO;-6.513608;36.996097;no
SABOJI;PP;O_PP_L;19;1;38;25;63;0.2385;264.1509434;264;YES;-6.513445;36.995681;no
SABOJI;PP;O_PP_M;8;0;16;0;16;0.276;57.97101449;58;NO;-6.513631;36.99604;no
SABOJI;PP;O_PP_N;9;0;18;0;18;0.225;80;80;NO;-6.513636;36.995694;no
SABOJI;PP;O_PP_O;3;0;6;0;6;0.2494;24.05773857;24;NO;-6.51367;36.99569;no
SABOJI;JP;O006;19;0;38;0;38;0.4984;76.24398074;76;NO;-6.514006443;36.99531162;yes
SABOJI;JP;O008;17;1;34;25;59;0.52;113.4615385;113;NO;-6.513977152;36.99526582;yes
SABOJI;JP;O023;21;0;42;0;42;0.755;55.62913907;56;YES;-6.513807949;36.99517442;no
SABOJI;JP;O042;34;0;68;0;68;0.5062;134.3342552;134;NO;-6.513526791;36.99517032;yes
SABOJI;JP;O045;44;0;88;0;88;0.592;148.6486486;149;NO;-6.51341381;36.99519921;no
SABOJI;JP;O054;33;0;66;0;66;0.5035;131.082423;131;NO;-6.513291806;36.99504635;yes
SABOJI;JP;O067;34;0;68;0;68;0.5125;132.6829268;133;NO;-6.513218596;36.99506614;no
SABOJI;JP;O072;25;0;50;0;50;0.538;92.93680297;93;NO;-6.513214348;36.99499294;yes
SABOJI;JP;O105;50;0;100;0;100;0.502;199.2031873;199;NO;-6.513014171;36.99513247;yes
SABOJI;JP;O112;25;0;50;0;50;0.4909;101.853738;102;NO;-6.513111166;36.99517727;yes
SABOJI;JP;O123;22;0;44;0;44;0.484;90.90909091;91;NO;-6.513322079;36.99521043;yes
SABOJI;JP;O136;27;0;54;0;54;0.5144;104.9766719;105;NO;-6.513514614;36.99525214;yes
SABOJI;JP;O137;9;0;18;0;18;0.481;37.42203742;37;NO;-6.513513557;36.99527051;yes
SABOJI;JP;O148;24;0;48;0;48;0.68;70.58823529;71;NO;-6.513773165;36.99521245;no
SABOJI;JP;O231;28;1;56;25;81;0.5225;155.0239234;155;NO;-6.513914578;36.99524648;yes
SABOJI;JP;O241;24;0;48;0;48;0.758;63.32453826;63;NO;-6.513739059;36.99536702;yes
SABOJI;JP;O268;31;0;62;0;62;0.6332;97.9153506;98;NO;-6.513527403;36.9953493;yes
SABOJI;JP;O304;57;0;114;0;114;0.716;159.2178771;159;NO;-6.513001114;36.99531389;no
SABOJI;JP;O314;20;0;40;0;40;0.4684;85.3970965;85;NO;-6.51301402;36.99523369;yes
SABOJI;JP;O334;30;0;60;0;60;0.715;83.91608392;84;NO;-6.51316677;36.99542619;yes
SABOJI;JP;O352;37;1;74;25;99;0.7256;136.4388093;136;NO;-6.513277343;36.99558719;yes
SABOJI;JP;O384;47;0;94;0;94;0.52;180.7692308;181;NO;-6.51367853;36.99546228;no
SABOJI;JP;O463;16;0;32;0;32;0.545;58.71559633;59;YES;-6.513556989;36.99555427;no
SABOJI;JP;O488;39;0;78;0;78;0.7095;109.9365751;110;YES;-6.51299418;36.99543636;no
SABOJI;JP;O514;34;0;68;0;68;0.598;113.7123746;114;NO;-6.51312891;36.9955147;yes
SABOJI;JP;O553;68;1;136;25;161;0.8112;198.4714004;198;NO;-6.513581326;36.99570637;no
SABOJI;JP;O580;50;0;100;0;100;0.52;192.3076923;192;NO;-6.513253894;36.99569873;no
SABOJI;JP;O582;49;0;98;0;98;0.5539;176.9272432;177;NO;-6.513166988;36.99561766;no
SABOJI;JP;O621;27;0;54;0;54;0.5617;96.13672779;96;NO;-6.513091478;36.99566489;no
SABOJI;JP;O626;25;0;50;0;50;0.584;85.61643836;86;YES;-6.513162749;36.99569337;no
SABOJI;JP;O642;49;0;98;0;98;0.5225;187.5598086;188;NO;-6.513308869;36.99572889;no
SABOJI;JP;O682;40;0;80;0;80;0.508;157.480315;157;NO;-6.513538477;36.99574312;yes
SABOJI;JP;O685;39;0;78;0;78;0.7055;110.5598866;111;NO;-6.513424425;36.9957906;yes
SABOJI;JP;O766;34;0;68;0;68;0.55;123.6363636;124;NO;-6.51345053;36.99592431;no
SABOJI;JP;O839;18;0;36;0;36;0.5216;69.01840491;69;NO;-6.513073438;36.9957875;yes
SABOJI;OA;OT14M11;1;0;2;0;2;1;2;2;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M13;1;0;2;0;2;1;2;2;NO;-6.513259226;36.99553735;no
SABOJI;OA;OT14M14;1;0;2;0;2;1;2;2;NO;-6.513269602;36.99552571;no
SABOJI;OA;OT14M16;3;0;6;0;6;1;6;6;YES;-6.51329426;36.99554798;no
SABOJI;OA;OT14M17;1;0;2;0;2;1;2;2;NO;-6.513300889;36.99556056;no
SABOJI;OA;OT14M19;3;0;6;0;6;1;6;6;YES;-6.513314072;36.99557869;no
SABOJI;OA;OT14M20;4;0;8;0;8;1;8;8;YES;-6.513322452;36.99559017;no
SABOJI;OA;OT14M21;1;0;2;0;2;1;2;2;YES;-6.513323168;36.99560773;no
SABOJI;OA;OT14M22;1;0;2;0;2;1;2;2;YES;-6.513312326;36.99561828;no
SABOJI;OA;OT14M23;1;0;2;0;2;1;2;2;YES;-6.513309852;36.99563957;no
SABOJI;OA;OT14M3;1;0;2;0;2;1;2;2;YES;-6.513134739;36.99544441;no
SABOJI;OA;OT14M4;2;0;4;0;4;1;4;4;YES;-6.513163406;36.99545757;no
SABOJI;OA;OT14M5;2;0;4;0;4;1;4;4;NO;-6.513181743;36.99547078;no
SABOJI;OA;OT14M9;1;0;2;0;2;1;2;2;YES;-6.513192341;36.99549119;no
SABOJI;OA;OT14M1;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M2;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M6;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M7;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M8;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M10;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M12;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M15;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M18;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M24;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M25;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M26;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M27;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M28;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M29;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M30;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M31;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M32;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M33;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M34;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M35;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M36;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M37;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M38;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M39;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M40;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M41;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M42;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M43;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M44;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT14M45;0;0;0;0;0;1;0;0;YES;-6.513232324;36.99552107;no
SABOJI;OA;OT15M1;1;0;2;0;2;1;2;2;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M10;2;0;4;0;4;1;4;4;NO;-6.513486448;36.99544642;no
SABOJI;OA;OT15M13;2;0;4;0;4;1;4;4;YES;-6.51345808;36.99545198;no
SABOJI;OA;OT15M14;2;0;4;0;4;1;4;4;YES;-6.513450399;36.99546742;no
SABOJI;OA;OT15M15;3;0;6;0;6;1;6;6;NO;-6.513421571;36.99547304;no
SABOJI;OA;OT15M16;5;0;10;0;10;1;10;10;YES;-6.513389385;36.99548432;no
SABOJI;OA;OT15M17;2;0;4;0;4;1;4;4;YES;-6.513371389;36.99549507;no
SABOJI;OA;OT15M18;3;0;6;0;6;1;6;6;NO;-6.513338511;36.99550042;no
SABOJI;OA;OT15M19;4;0;8;0;8;1;8;8;NO;-6.513318115;36.99551144;no
SABOJI;OA;OT15M21;2;0;4;0;4;1;4;4;NO;-6.513274596;36.99552817;no
SABOJI;OA;OT15M22;5;0;10;0;10;1;10;10;YES;-6.51324099;36.99554878;no
SABOJI;OA;OT15M23;2;0;4;0;4;1;4;4;YES;-6.513211406;36.99555052;no
SABOJI;OA;OT15M3;1;0;2;0;2;1;2;2;YES;-6.513500311;36.99532922;no
SABOJI;OA;OT15M4;7;0;14;0;14;1;14;14;YES;-6.5135042;36.9953428;no
SABOJI;OA;OT15M5;8;0;16;0;16;1;16;16;YES;-6.513508625;36.99535913;no
SABOJI;OA;OT15M6;5;0;10;0;10;1;10;10;YES;-6.513517392;36.99538222;no
SABOJI;OA;OT15M8;5;0;10;0;10;1;10;10;YES;-6.513536772;36.99542163;no
SABOJI;OA;OT15M9;1;0;2;0;2;1;2;2;YES;-6.5135097;36.99543003;no
SABOJI;OA;OT15M2;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M7;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M11;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M12;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M20;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M24;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M25;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M26;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M27;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M28;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M29;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M30;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M31;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M32;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M33;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M34;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M35;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M36;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M37;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M38;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M39;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M40;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M41;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M42;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M43;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M44;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M45;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M46;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M47;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M48;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M49;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no
SABOJI;OA;OT15M50;0;0;0;0;0;1;0;0;YES;-6.513490101;36.99531347;no